mass_g,year,reclat,reclong,time_period,mass_kg,us_state
30.1,1999,31.59391,-111.37023,1991 to 2000,0.030100000000000002,arizona
8940,1894,44.6,-94.1,1950 and older,8.94,minnesota
9200,1967,39.76667,-102.13333,1961 to 1970,9.2,colorado
31100,1936,39.3,-103.25,1950 and older,31.1,colorado
800,1839,35.58333,-82.53333,1950 and older,0.8,north carolina:main
27000,1901,35.25,-112.5,1950 and older,27,arizona
55400,1969,32.9,-102.28333,1961 to 1970,55.4,texas
5500,1938,31.8,-92.75,1950 and older,5.5,louisiana
5622,1996,37.25,-98.13333,1991 to 2000,5.622,kansas
2100,1963,40.51667,-103.26667,1961 to 1970,2.1,colorado
77,1964,40.51667,-103.26667,1961 to 1970,0.077,colorado
560.8,2010,34.38063,-114.16705,2001 to 2010,0.5608,arizona
3630,1867,32.63333,-85.5,1950 and older,3.63,alabama
76000,1858,38.16667,-79.08333,1950 and older,76,virginia:main
1000,1938,36.33333,-105.05,1950 and older,1,new mexico
6200,1943,31.66,-96.97167,1950 and older,6.2,texas
136000,1876,36.3,-82.88333,1950 and older,136,tennessee
6400,1842,36.3,-82.88333,1950 and older,6.4,tennessee
2200,1959,34.613317,-113.398967,1951 to 1960,2.2,arizona
3200,1891,41.28333,-77.05,1950 and older,3.2,pennsylvania
1250,1927,31.76667,-99.98333,1950 and older,1.25,texas
11100,1994,30.78333,-103.46667,1991 to 2000,11.1,texas
8590,1938,30.83333,-97.5,1950 and older,8.59,texas
10400,1950,34,-101.5,1950 and older,10.4,texas
2500,1961,43.13333,-102.1,1961 to 1970,2.5,south dakota
75000,1982,41.81667,-103.36667,1981 to 1990,75,nebraska
227000,1866,39.6,-105.3,1950 and older,227,colorado
48500,1931,44.5,-104.2,1950 and older,48.5,wyoming
25628,1940,36.8,-100.53333,1950 and older,25.628,oklahoma
925,1979,38.48417,-113.13639,1971 to 1980,0.925,utah
11620,1924,38.53333,-100.21667,1950 and older,11.62,kansas
44400,1937,36.21667,-103.65,1950 and older,44.4,new mexico
8.9,1999,35.66117,-115.33333,1991 to 2000,0.0089,nevada
78800,1950,37.31667,-97.25,1950 and older,78.8,kansas
25300,1958,42.73333,-90.35,1951 to 1960,25.3,wisconsin
16380,1970,41,-97.53333,1961 to 1970,16.38,nebraska
51800,1969,33.58333,-99.8,1961 to 1970,51.8,texas
89000,1934,43.5,-101.25,1950 and older,89,south dakota
18.3,1968,34.23333,-103.38333,1961 to 1970,0.0183,new mexico
56.8,1968,34.24667,-103.395,1961 to 1970,0.056799999999999996,new mexico
67,1941,39.3,-102.41667,1950 and older,0.067,colorado
91.9,2006,33.71333,-113.275,2001 to 2010,0.09190000000000001,arizona
24500,1903,37.06667,-93.55,1950 and older,24.5,missouri
8600,1912,38,-108.5,1950 and older,8.6,colorado
11000,1958,38.30667,-99.71,1951 to 1960,11,kansas
800,1839,35.58333,-82.35,1950 and older,0.8,north carolina:main
152,2003,40.86717,-119.18352,2001 to 2010,0.152,nevada
1500,1979,34.20583,-103.22222,1971 to 1980,1.5,new mexico
67,1998,40.5,-101.08333,1991 to 2000,0.067,nebraska
113.7,1983,39.91667,-101.2,1981 to 1990,0.11370000000000001,kansas
30500,1970,33.59167,-103.02667,1961 to 1970,30.5,texas
70,2006,38.66167,-115.51833,2001 to 2010,0.07,nevada
3650,2002,35.8675,-114.19167,2001 to 2010,3.65,arizona
9540,1946,35.26667,-107.96667,1950 and older,9.54,new mexico
6.1,2000,40.2495,-118.93683,1991 to 2000,0.0060999999999999995,nevada
23,1999,40.24148,-118.94763,1991 to 2000,0.023,nevada
95,1999,40.26752,-118.94308,1991 to 2000,0.095,nevada
113,1999,40.27537,-118.9461,1991 to 2000,0.113,nevada
7200,1999,40.28563,-118.94657,1991 to 2000,7.2,nevada
355,1999,40.28338,-118.94808,1991 to 2000,0.355,nevada
324,1999,40.282470000000004,-118.94872,1991 to 2000,0.324,nevada
