mass_g,year,reclat,reclong,time_period,mass_kg,us_state
3.92,2002,34.49312,-116.94662,2001 to 2010,0.00392,california
16.49,2002,34.49058,-116.95032,2001 to 2010,0.016489999999999998,california
7.56,2002,34.49095,-116.95038,2001 to 2010,0.00756,california
2.71,2003,34.49553,-116.9471,2001 to 2010,0.00271,california
21,2003,34.51087,-116.93545,2001 to 2010,0.021,california
5.6,2003,34.5001,-116.94217,2001 to 2010,0.0056,california
3.1,2003,34.48715,-116.95337,2001 to 2010,0.0031,california
3,2003,34.4875,-116.95567,2001 to 2010,0.003,california
10.1,2003,34.487,-116.956,2001 to 2010,0.0101,california
4.12,2004,34.48708,-116.95797,2001 to 2010,0.00412,california
3.22,2004,34.4871,-116.9578,2001 to 2010,0.00322,california
11.87,2004,34.49015,-116.94985,2001 to 2010,0.011869999999999999,california
0.92,2004,34.4868,-116.95837,2001 to 2010,9.2e-4,california
2.48,2004,34.48793,-116.95638,2001 to 2010,0.00248,california
0.9,2004,34.48887,-116.95223,2001 to 2010,9e-4,california
5.21,2004,34.4921,-116.94308,2001 to 2010,0.00521,california
0.84,2004,34.48975,-116.94277,2001 to 2010,8.399999999999999e-4,california
2.17,2004,34.48595,-116.9637,2001 to 2010,0.00217,california
1.75,2004,34.48457,-116.96255,2001 to 2010,0.00175,california
106.22,2004,34.48413,-116.96083,2001 to 2010,0.10622,california
38.56,2004,34.487,-116.96512,2001 to 2010,0.038560000000000004,california
10.32,2004,34.48742,-116.9735,2001 to 2010,0.010320000000000001,california
30.43,2004,34.48613,-116.9739,2001 to 2010,0.03043,california
2.29,2004,34.48667,-116.95833,2001 to 2010,0.00229,california
9.2,2004,34.48472,-116.96107,2001 to 2010,0.0092,california
6.85,2005,34.48728,-116.95833,2001 to 2010,0.006849999999999999,california
6,2003,34.525,-116.95333,2001 to 2010,0.006,california
13.15,2005,34.486,-116.97275,2001 to 2010,0.01315,california
0.85,2006,34.51092,-116.93962,2001 to 2010,8.5e-4,california
2.6,2007,34.48972,-116.98128,2001 to 2010,0.0026,california
30.7,2007,34.48823,-116.97797,2001 to 2010,0.030699999999999998,california
12.7,2007,34.48075,-116.9788,2001 to 2010,0.0127,california
0.6,2007,34.48148,-116.95325,2001 to 2010,6e-4,california
3.93,2007,34.4887,-116.9788,2001 to 2010,0.00393,california
3.5,2008,34.48712,-116.96147,2001 to 2010,0.0035,california
1.1,2008,34.48657,-116.9592,2001 to 2010,0.0011,california
7.3,2008,34.48662,-116.9564,2001 to 2010,0.0073,california
6.5,2008,34.48565,-116.95673,2001 to 2010,0.0065,california
1.5,2008,34.48703,-116.95595,2001 to 2010,0.0015,california
3.2,2008,34.48733,-116.96055,2001 to 2010,0.0032,california
0.8,2008,34.48738,-116.96065,2001 to 2010,8e-4,california
4,2008,34.48598,-116.95593,2001 to 2010,0.004,california
43.1,2010,34.48388,-116.9501,2001 to 2010,0.0431,california
35400,1973,32.83611,-99.60417,1971 to 1980,35.4,texas
7000,1896,34,-106.96667,1950 and older,7,new mexico
32.5,2003,38.39918,-115.9967,2001 to 2010,0.0325,nevada
861,1976,39.11667,-98.68333,1971 to 1980,0.861,kansas
6700,1914,40.74972,-97.74972,1950 and older,6.7,nebraska
46,1940,42.76667,-104.35,1950 and older,0.046,wyoming
42000,1984,34.21667,-103.91667,1981 to 1990,42,new mexico
370,1999,40.6265,-118.41033,1991 to 2000,0.37,nevada
2420,2003,40.62832,-118.4167,2001 to 2010,2.42,nevada
1306,2003,40.63078,-118.40918,2001 to 2010,1.306,nevada
1823.3,2007,40.61667,-118.38472,2001 to 2010,1.8233,nevada
2854,2012,40.89201,-118.55319,2011 to current day,2.854,nevada
750,2008,34.849,-99.704,2001 to 2010,0.75,oklahoma
49000,1939,42.18333,-95.71667,1950 and older,49,iowa
68,1991,42.29111,-88.62556,1991 to 2000,0.068,illinois
50,1980,33.25,-112.05,1971 to 1980,0.05,arizona
2890,1955,38.36667,-97.03333,1951 to 1960,2.89,kansas
68000,1936,34.6,-97.91667,1950 and older,68,oklahoma
6800,1860,37,-88.25,1950 and older,6.8,kentucky
6850,1933,42.45,-103.3,1950 and older,6.85,nebraska
7140,1898,31.5,-96.88333,1950 and older,7.14,texas
6900,1955,39.47444,-96.925,1951 to 1960,6.9,kansas
38400,1972,37.30833,-97.545,1971 to 1980,38.4,kansas
15400,1920,36.38333,-79.86667,1950 and older,15.4,north carolina:main
1100,1935,33.75,-100.93333,1950 and older,1.1,texas
3602,1965,40.02,-100.78333,1961 to 1970,3.602,nebraska
1530,1980,38.525,-99.81,1971 to 1980,1.53,kansas
11800,1989,32.925,-102.625,1981 to 1990,11.8,texas
2990,1989,32.925,-102.625,1981 to 1990,2.99,texas
150000,1870,33.18333,-96.71667,1950 and older,150,texas
4300,1939,35.23333,-100.6,1950 and older,4.3,texas
1495,1975,33.33139,-102.26889,1971 to 1980,1.495,texas
691,1981,33.33139,-102.26889,1981 to 1990,0.691,texas
36400,1933,34.38333,-103.61667,1950 and older,36.4,new mexico
50.5,1971,34.39833,-103.605,1971 to 1980,0.0505,new mexico
7746,1950,38.525,-95.78056,1950 and older,7.746,kansas
1417.5,1941,31.42611,-100.13333,1950 and older,1.4175,texas
3720,1943,31.26667,-100.83333,1950 and older,3.72,texas
3500,1922,37.16667,-108.5,1950 and older,3.5,colorado
57700,1930,35.66667,-100.6,1950 and older,57.7,texas
40800,1975,32.83528,-81.87389,1971 to 1980,40.8,georgia
970,1950,38.625,-96.02278,1950 and older,0.97,kansas
88000,1970,36.23,-104.11889,1961 to 1970,88,new mexico
34,1981,33.63333,-103.33333,1981 to 1990,0.034,new mexico
2040,2000,40.2875,-95.37667,1991 to 2000,2.04,missouri
89400,1857,36.55,-93.1,1950 and older,89.4,missouri
12000,1949,43.31667,-100.76667,1950 and older,12,south dakota
698.8,2004,36.55722,-114.42694,2001 to 2010,0.6988,nevada
1800,1948,38.5,-101.1,1950 and older,1.8,kansas
586,2000,32.73,-113.71,1991 to 2000,0.586,arizona
27900,1938,31.48333,-102.88333,1950 and older,27.9,texas
210,1982,36.95,-84.9,1981 to 1990,0.21,kentucky
524.5,1985,32.50333,-102.74333,1981 to 1990,0.5245,texas
330,1975,34.98333,-106.05,1971 to 1980,0.33,new mexico
295000,1890,39.33333,-100.06667,1950 and older,295,kansas
1387,1920,42.18333,-103.93333,1950 and older,1.387,nebraska
16300,1887,36.2,-83.38333,1950 and older,16.3,tennessee
18200,1999,45.5,-119.5,1991 to 2000,18.2,oregon
6400,1980,33.71667,-102.76667,1971 to 1980,6.4,texas
6220,1942,37.63333,-105.83333,1950 and older,6.22,colorado
1800,1963,35.75,-103.93333,1961 to 1970,1.8,new mexico
384000,1887,39.78333,-77.21667,1950 and older,384,pennsylvania
12.5,1897,42.7,-77.88333,1950 and older,0.0125,new york:main
676,1937,44,-89.25,1950 and older,0.676,wisconsin
900,1898,38.41667,-106.21667,1950 and older,0.9,colorado
159000,1868,36.93333,-87.4,1950 and older,159,kentucky
18255,2002,37.8594,-117.02097,2001 to 2010,18.255,nevada
9716,1963,35.63333,-100.13333,1961 to 1970,9.716,texas
3600,1972,34.12167,-102.695,1971 to 1980,3.6,texas
8600,1847,35.83333,-86.41667,1950 and older,8.6,tennessee
18.4,1936,34.91667,-117.83333,1950 and older,0.0184,california
223,1936,34.91667,-117.83333,1950 and older,0.223,california
7700,1899,35.1,-84.03333,1950 and older,7.7,north carolina:main
5397,1969,28.95,-97.40278,1961 to 1970,5.397,texas
672.3,1935,30.95,-98.26667,1950 and older,0.6723,texas
513.3,1942,30.95,-98.28333,1950 and older,0.5133,texas
18000,1934,35.96667,-77.96667,1950 and older,18,north carolina:main
25000,1939,37.45,-98.41667,1950 and older,25,kansas
2184000,1921,35.33333,-109.5,1950 and older,2184,arizona
147,2004,32.5,-111.28,2001 to 2010,0.147,arizona
44,1938,34.5,-102.25,1950 and older,0.044,texas
3600,1967,34.5,-102.25,1961 to 1970,3.6,texas
222,1970,34.58333,-102.08333,1961 to 1970,0.222,texas
1500,1968,34.58333,-102.08333,1961 to 1970,1.5,texas
13100,1977,34.58333,-102.05,1971 to 1980,13.1,texas
11310,1968,34.52667,-102.105,1961 to 1970,11.31,texas
45300,1962,34.44417,-114.8325,1961 to 1970,45.3,california
1793,1976,34.04472,-102.79917,1971 to 1980,1.793,texas
13800,1948,34.8,-118.5,1950 and older,13.8,california
73030,1856,37.75,-85.5,1950 and older,73.03,kentucky
82000,1894,38.5,-99.6,1950 and older,82,kansas
652,1938,38.48333,-99.91667,1950 and older,0.652,kansas
8000,1917,39.66667,-100,1950 and older,8,kansas
20000,1922,40,-78.85,1950 and older,20,pennsylvania
266,2010,33.721,-101.8389,2001 to 2010,0.266,texas
20000,1936,46.36667,-101.95,1950 and older,20,north dakota
800,1986,33.17,-101.63833,1981 to 1990,0.8,texas
130,1935,34.5,-107,1950 and older,0.13,new mexico
100.3,1972,33.11667,-102.11667,1971 to 1980,0.1003,texas
200,1975,33.11833,-102.11333,1971 to 1980,0.2,texas
3400,1995,40.62583,-103.84033,1991 to 2000,3.4,colorado
4800,1941,39.8,-84.81667,1950 and older,4.8,ohio
5600,1923,35.6,-91.26667,1950 and older,5.6,arkansas
892,1939,37.6,-105.83333,1950 and older,0.892,colorado
115,1879,48,-97.93333,1950 and older,0.115,north dakota
3200,1940,39.81667,-100.2,1950 and older,3.2,kansas
15150,1932,28.86667,-97.61667,1950 and older,15.15,texas
23000,1907,36.9,-76.3,1950 and older,23,virginia:main
4200,1965,32.51667,-82.55,1961 to 1970,4.2,georgia
353,1963,42.31667,-72.63333,1961 to 1970,0.353,massachusetts:main
76000,1972,39.99167,-98.34167,1971 to 1980,76,kansas
500,1950,27.5,-99.5,1950 and older,0.5,texas
6400,1986,36.29533,-105.04833000000001,1981 to 1990,6.4,new mexico
111000,1926,42.33333,-113.7,1950 and older,111,idaho
27700,1895,38.95,-101.01667,1950 and older,27.7,kansas
606,1968,34.22833,-103.35833,1961 to 1970,0.606,new mexico
2500,1911,39.8,-100.51667,1950 and older,2.5,kansas
28570,1990,32.83333,-116.06667,1981 to 1990,28.57,california
1304.2,2004,34.13228,-112.70225,2001 to 2010,1.3042,arizona
1600000,1922,31.71667,-102.4,1950 and older,1600,texas
12700,1992,32.91217,-101.91867,1991 to 2000,12.7,texas
3300,1918,41.16667,-101.66667,1950 and older,3.3,nebraska
1000,1916,26.68333,-80.8,1950 and older,1,florida
156,1854,33.5,-89,1950 and older,0.156,mississippi
42,2000,34.85958,-116.22113,1991 to 2000,0.042,california
2753000,1976,34.46667,-115.23333,1971 to 1980,2753,california
198.96,2008,33.67248,-114.2917,2001 to 2010,0.19896,arizona
6690,1984,41.2,-103.68333,1981 to 1990,6.69,nebraska
953,1948,34.16722,-102.13361,1950 and older,0.953,texas
513,1971,32.37167,-106.25833,1971 to 1980,0.513,new mexico
24500,1893,39.68333,-121.63333,1950 and older,24.5,california
3600,1895,33.63333,-106.38333,1950 and older,3.6,new mexico
144.8,1961,44.07694,-88.56278,1961 to 1970,0.1448,wisconsin
2600,1940,38.53333,-99.05,1950 and older,2.6,kansas
28,1970,35.16667,-105.98333,1961 to 1970,0.028,new mexico
1374,1998,38.96667,-94.66667,1991 to 2000,1.374,kansas
6169,1939,40.96667,-102.4,1950 and older,6.169,colorado
860,1943,40.75833,-102.375,1950 and older,0.86,colorado
168400,1984,41.2,-103.68333,1981 to 1990,168.4,nebraska
192800,1913,37.46667,-118,1950 and older,192.8,california
6000,1985,40.16667,-99.66667,1981 to 1990,6,nebraska
127500,1929,30.73333,-101.3,1950 and older,127.5,texas
13630,1980,39.16667,-101.28333,1971 to 1980,13.63,kansas
9979,1908,36.4665,-88.60283,1950 and older,9.979,tennessee
1482,1954,36.5,-104.5,1951 to 1960,1.482,new mexico
9158,2004,34.71457,-114.19142,2001 to 2010,9.158,arizona
3000,1935,34.9,-101.21667,1950 and older,3,texas
1360,1969,35.33333,-101.38333,1961 to 1970,1.36,texas
13000,1969,39.11,-100.36167,1961 to 1970,13,kansas
2150,1940,43.8,-117,1950 and older,2.15,idaho
14900,1983,32.5,-102.03333,1981 to 1990,14.9,texas
725,1901,34,-84.8,1950 and older,0.725,georgia
159,2004,33.18667,-114.91783,2001 to 2010,0.159,california
1728,2001,34.23333,-111.4,2001 to 2010,1.728,arizona
1600,1926,32,-102,1950 and older,1.6,texas
691,1980,30.33333,-98.95,1971 to 1980,0.691,texas
11500,1937,40.95,-103.08333,1950 and older,11.5,colorado
618,1999,33.66667,-108.1,1991 to 2000,0.618,new mexico
3580,1947,39.35,-99.91667,1950 and older,3.58,kansas
591,1966,33.73,-102.57667,1961 to 1970,0.591,texas
2114,1975,36.35333,-100.73167,1971 to 1980,2.114,texas
17500,1906,37.73333,-89.85,1950 and older,17.5,missouri
5000,1893,35.05,-84.23333,1950 and older,5,north carolina:main
1360,1935,40.45,-102.38333,1950 and older,1.36,colorado
22000,1952,33.2,-105,1951 to 1960,22,new mexico
400,1908,34.5,-84.5,1950 and older,0.4,georgia
100000,1917,37.86667,-100.66667,1950 and older,100,kansas
2125,1939,37.86667,-100.66667,1950 and older,2.125,kansas
210,1947,32.2,-111,1950 and older,0.21,arizona
2700,1935,41.18333,-104.06667,1950 and older,2.7,wyoming
3600,1931,44.21667,-89.1,1950 and older,3.6,wisconsin
17850,1928,32.66667,-105.1,1950 and older,17.85,new mexico
17900,1954,34,-115.78333,1951 to 1960,17.9,california
13600,1887,29.68333,-98.91667,1950 and older,13.6,texas
600,1850,40.43333,-80,1950 and older,0.6,pennsylvania
34300,1964,33.28333,-102.76667,1961 to 1970,34.3,texas
280,1991,33.26667,-102.9,1991 to 2000,0.28,texas
700000,1917,34.11667,-101.78333,1950 and older,700,texas
2200,1950,34.11667,-101.78333,1950 and older,2.2,texas
631,1963,34.125,-101.75667,1961 to 1970,0.631,texas
700,1979,34.1875,-101.70417,1971 to 1980,0.7,texas
1250,2010,34.18513,-101.70558,2001 to 2010,1.25,texas
2300,1935,38.18333,-94.71667,1950 and older,2.3,kansas
14000,1893,41.33333,-86.31667,1950 and older,14,indiana
18000,1956,36.5,-104.5,1951 to 1960,18,new mexico
800,1954,36.5,-104.5,1951 to 1960,0.8,new mexico
524,1971,38.17,-110.36667,1971 to 1980,0.524,utah
4642,1947,31.66333,-99.95,1950 and older,4.642,texas
3240,1967,34.06667,-103.5,1961 to 1970,3.24,new mexico
595.8,1967,34.06667,-103.5,1961 to 1970,0.5958,new mexico
6000,1967,34.1,-103.41667,1961 to 1970,6,new mexico
30,1959,39.56667,-98.68333,1951 to 1960,0.03,kansas
2000,1965,33.11667,-101.38333,1961 to 1970,2,texas
261000,1941,41.23333,-103.3,1950 and older,261,nebraska
42.8,2011,34.68222,-114.33046,2011 to current day,0.0428,arizona
1062,2008,34.7049,-114.34572,2001 to 2010,1.062,arizona
4310,1990,38.66667,-82.78333,1981 to 1990,4.31,ohio
2900,1893,39.63333,-100.5,1950 and older,2.9,kansas
3383,1997,35.66667,-115.36667,1991 to 2000,3.383,nevada
6804,1903,38.56667,-85.23333,1950 and older,6.804,kentucky
7.7,1944,34.4,-106.85,1950 and older,0.0077,new mexico
4500,1977,29.5,-98.05,1971 to 1980,4.5,texas
32700,1839,33.25,-83.25,1950 and older,32.7,georgia
4832,1935,37.2,-116.7,1950 and older,4.832,nevada
69.7,2002,33.68085,-114.1958,2001 to 2010,0.0697,arizona
1450000,1908,38.08333,-115.53333,1950 and older,1450,nevada
20,2000,34.44567,-117.01083,1991 to 2000,0.02,california
122.7,1997,32.44667,-111.34667,1991 to 2000,0.1227,arizona
12100,1982,34.76778,-103.55,1981 to 1990,12.1,new mexico
11800,1980,34.78333,-103.66667,1971 to 1980,11.8,new mexico
112.9,2005,35.4005,-117.66617,2001 to 2010,0.1129,california
15000,1938,38.61667,-99.93333,1950 and older,15,kansas
230,1948,39.78333,-100,1950 and older,0.23,kansas
21.5,2001,35.65306,-114.02437,2001 to 2010,0.0215,arizona
94,2001,35.64552,-114.03069,2001 to 2010,0.094,arizona
13.5,2001,35.6464,-114.02849,2001 to 2010,0.0135,arizona
12,2001,35.64645,-114.02853,2001 to 2010,0.012,arizona
40,2001,35.62705,-114.04336,2001 to 2010,0.04,arizona
13,2001,35.62723,-114.04323,2001 to 2010,0.013,arizona
17,2002,35.66185,-114.0271,2001 to 2010,0.017,arizona
5.9,2002,35.66375,-114.02698,2001 to 2010,0.005900000000000001,arizona
17.9,2003,35.69732,-114.032,2001 to 2010,0.0179,arizona
6.55,2003,35.67947,-114.04338,2001 to 2010,0.006549999999999999,arizona
11.3,2004,35.6448,-114.03452,2001 to 2010,0.011300000000000001,arizona
5.25,2004,35.62682,-114.04373,2001 to 2010,0.00525,arizona
4.8,2002,35.69733,-114.06167,2001 to 2010,0.0048,arizona
6,2006,35.63333,-114.08333,2001 to 2010,0.006,arizona
6,2006,35.64133,-114.09,2001 to 2010,0.006,arizona
3,2006,35.647,-114.0955,2001 to 2010,0.003,arizona
6.2,2009,35.65868,-114.02573,2001 to 2010,0.0062,arizona
26.2,2008,35.64,-114.03285,2001 to 2010,0.026199999999999998,arizona
4.35,2010,35.62453,-114.04688,2001 to 2010,0.00435,arizona
800000,1808,32,-95,1950 and older,800,texas
47600,1976,35.41667,-117.91667,1971 to 1980,47.6,california
2750,1899,40.25,-100.5,1950 and older,2.75,nebraska
20000,1895,43.86667,-85.51667,1950 and older,20,michigan:south
81600,1986,36.98667,-97.555,1981 to 1990,81.6,oklahoma
135,1942,40.08333,-98.91667,1950 and older,0.135,nebraska
6240,1961,33.53333,-99.61667,1961 to 1970,6.24,texas
40800,1983,37.22222,-101.68139,1981 to 1990,40.8,kansas
50600,1951,31.9,-96.4,1951 to 1960,50.6,texas
9.69,1958,35.58333,-117.56667,1951 to 1960,0.009689999999999999,california
102700,1948,38.51667,-107.83333,1950 and older,102.7,colorado
1001,2011,35.3,-106.63333,2011 to current day,1.001,new mexico
10.56,1998,35.63333,-115.36667,1991 to 2000,0.01056,nevada
5,2000,35.65933,-115.37167,1991 to 2000,0.005,nevada
4.2,2000,35.6717,-115.36722,1991 to 2000,0.004200000000000001,nevada
6.53,2001,35.68345,-115.34703,2001 to 2010,0.00653,nevada
59.2,2001,35.67298,-115.36717,2001 to 2010,0.0592,nevada
18.65,2002,35.68078,-115.34062,2001 to 2010,0.01865,nevada
10.13,2002,35.67405,-115.36807,2001 to 2010,0.01013,nevada
36.2,2002,35.6701,-115.37248,2001 to 2010,0.0362,nevada
18.26,2002,35.67725,-115.3566,2001 to 2010,0.018260000000000002,nevada
29.9,2002,35.67355,-115.35067,2001 to 2010,0.0299,nevada
39.6,2010,35.66594,-115.37081,2001 to 2010,0.0396,nevada
5.2,1979,34.08333,-103.5,1971 to 1980,0.0052,new mexico
25.3,1979,34.08333,-103.5,1971 to 1980,0.0253,new mexico
2.1,1979,34.08333,-103.5,1971 to 1980,0.0021000000000000003,new mexico
1641,1980,34.42222,-101.4975,1971 to 1980,1.641,texas
52.7,2003,41.65,-109.025,2001 to 2010,0.052700000000000004,wyoming
982,1974,34.065,-103.40833,1971 to 1980,0.982,new mexico
440,1936,37.11667,-101.6,1950 and older,0.44,kansas
207.5,1939,37.11667,-101.6,1950 and older,0.2075,kansas
435,1941,37.08333,-101.6,1950 and older,0.435,kansas
50,1942,37.08333,-101.6,1950 and older,0.05,kansas
17200,1938,35.76667,-102.95,1950 and older,17.2,texas
5200,1972,34.86667,-98.95,1971 to 1980,5.2,oklahoma
462,1968,33.78333,-103.56667,1961 to 1970,0.462,new mexico
18.2,1973,33.71667,-103.65,1971 to 1980,0.0182,new mexico
30.3,1976,33.88333,-103.56667,1971 to 1980,0.0303,new mexico
882,1977,34.08333,-103.5,1971 to 1980,0.882,new mexico
12,1978,34.21667,-103.28333,1971 to 1980,0.012,new mexico
9.7,1979,34.08333,-103.5,1971 to 1980,0.009699999999999999,new mexico
23.6,1979,33.08333,-103.5,1971 to 1980,0.023600000000000003,new mexico
2.9,1980,33.75,-103.13333,1971 to 1980,0.0029,new mexico
173.1,1981,34.1,-103.48333,1981 to 1990,0.1731,new mexico
35.2,1981,34.1,-103.48333,1981 to 1990,0.0352,new mexico
74.7,1981,34.1,-103.48333,1981 to 1990,0.0747,new mexico
16.3,1981,34.1,-103.48333,1981 to 1990,0.016300000000000002,new mexico
138.2,1981,34.1,-103.48333,1981 to 1990,0.1382,new mexico
177.8,1981,34.21667,-103.2,1981 to 1990,0.1778,new mexico
10.8,1981,34.31667,-103.41667,1981 to 1990,0.0108,new mexico
450,1982,34.11667,-103.56667,1981 to 1990,0.45,new mexico
528,1983,34.13333,-103.56667,1981 to 1990,0.528,new mexico
96,1983,33.81806,-103.20694,1981 to 1990,0.096,new mexico
8.7,1983,34.21667,-103.28333,1981 to 1990,0.0087,new mexico
59.2,1984,34.18333,-103.23333,1981 to 1990,0.0592,new mexico
5.6,1984,34.08333,-103.5,1981 to 1990,0.0056,new mexico
4.3,1984,34.08333,-103.5,1981 to 1990,0.0043,new mexico
12.4,1984,34.15,-104.01667,1981 to 1990,0.0124,new mexico
22.3,1984,33.8,-103.25,1981 to 1990,0.0223,new mexico
67.3,1984,34.08333,-103.5,1981 to 1990,0.0673,new mexico
4.9,1984,34.08333,-103.5,1981 to 1990,0.004900000000000001,new mexico
3.1,1984,34.28333,-103.43333,1981 to 1990,0.0031,new mexico
397.1,1984,33.78333,-103.55,1981 to 1990,0.3971,new mexico
141.1,1968,34.08333,-103.5,1961 to 1970,0.1411,new mexico
21.8,1968,34.08333,-103.5,1961 to 1970,0.0218,new mexico
118.5,1968,34.08333,-103.61667,1961 to 1970,0.1185,new mexico
81.6,1968,34.08333,-103.61667,1961 to 1970,0.08159999999999999,new mexico
65.2,1968,34.08333,-103.61667,1961 to 1970,0.06520000000000001,new mexico
94.3,1968,34.08333,-103.51667,1961 to 1970,0.0943,new mexico
49.4,1968,34.3,-103.45,1961 to 1970,0.0494,new mexico
38,1969,34.08333,-103.5,1961 to 1970,0.038,new mexico
71.1,1969,34.08333,-103.5,1961 to 1970,0.0711,new mexico
32.4,1969,34.08333,-103.5,1961 to 1970,0.0324,new mexico
32.6,1969,34.08333,-103.51667,1961 to 1970,0.032600000000000004,new mexico
52.1,1969,34.08333,-103.61667,1961 to 1970,0.0521,new mexico
439.1,1970,34.25,-103.51667,1961 to 1970,0.43910000000000005,new mexico
55.5,1970,34.23333,-103.25,1961 to 1970,0.0555,new mexico
120.4,1970,34.1,-103.48333,1961 to 1970,0.12040000000000001,new mexico
30.3,1970,34.13333,-103.36667,1961 to 1970,0.0303,new mexico
57.3,1970,33.61667,-103.45,1961 to 1970,0.0573,new mexico
22.8,1971,34.08333,-103.5,1971 to 1980,0.0228,new mexico
13.1,1971,34.08333,-103.5,1971 to 1980,0.013099999999999999,new mexico
29.4,1971,34.21667,-103.35,1971 to 1980,0.0294,new mexico
17.7,1971,34.1,-103.48333,1971 to 1980,0.0177,new mexico
10.8,1971,33.88333,-103.7,1971 to 1980,0.0108,new mexico
361.5,1971,34.3,-103.43333,1971 to 1980,0.3615,new mexico
7.9,1971,34.3,-103.43333,1971 to 1980,0.0079,new mexico
10.3,1972,34.41667,-103.58333,1971 to 1980,0.0103,new mexico
7.7,1973,34.21667,-103.28333,1971 to 1980,0.0077,new mexico
12,1968,34.08333,-103.5,1961 to 1970,0.012,new mexico
26.2,1968,34.08333,-103.5,1961 to 1970,0.026199999999999998,new mexico
34.2,1968,34.08333,-103.61667,1961 to 1970,0.0342,new mexico
49.5,1968,34.08333,-103.51667,1961 to 1970,0.0495,new mexico
16.2,1969,34.21667,-103.5,1961 to 1970,0.0162,new mexico
34.7,1969,34.08333,-103.5,1961 to 1970,0.0347,new mexico
24.8,1969,34.08333,-103.5,1961 to 1970,0.0248,new mexico
405.8,1971,33.61667,-103.45,1971 to 1980,0.4058,new mexico
4.9,1988,34.1,-103.48333,1981 to 1990,0.004900000000000001,new mexico
2.1,1988,34.1,-103.48333,1981 to 1990,0.0021000000000000003,new mexico
13.9,1988,34.1,-103.48333,1981 to 1990,0.013900000000000001,new mexico
4.8,1989,34.1,-103.48333,1981 to 1990,0.0048,new mexico
2.3,1989,34.1,-103.48333,1981 to 1990,0.0023,new mexico
5.3,1989,34.1,-103.48333,1981 to 1990,0.0053,new mexico
9.8,1989,34.1,-103.48333,1981 to 1990,0.009800000000000001,new mexico
288,1989,34.08333,-103.48333,1981 to 1990,0.288,new mexico
22.2,1990,34.08333,-103.51667,1981 to 1990,0.0222,new mexico
258,1990,34.18333,-103.43333,1981 to 1990,0.258,new mexico
3.3,1992,34.08333,-103.5,1991 to 2000,0.0033,new mexico
10.9,1992,34.08333,-103.5,1991 to 2000,0.0109,new mexico
6.9,1992,34.08333,-103.5,1991 to 2000,0.006900000000000001,new mexico
30.2,1993,34.1,-103.58333,1991 to 2000,0.030199999999999998,new mexico
727.8,1968,34.05,-103.5,1961 to 1970,0.7278,new mexico
522.2,1969,33.63333,-103.16667,1961 to 1970,0.5222,new mexico
137,1969,34.08333,-103.56667,1961 to 1970,0.137,new mexico
14.8,1969,33.66667,-103.41667,1961 to 1970,0.0148,new mexico
69.6,1969,34.2,-103.23333,1961 to 1970,0.0696,new mexico
140,1969,34.31667,-103.38333,1961 to 1970,0.14,new mexico
9,1974,34.28333,-103.28333,1971 to 1980,0.009,new mexico
8.2,1977,34.06667,-103.51667,1971 to 1980,0.008199999999999999,new mexico
7.5,1978,33.88333,-103.56667,1971 to 1980,0.0075,new mexico
1615,1980,34.13333,-103.53333,1971 to 1980,1.615,new mexico
6.4,1993,34.28333,-103.51667,1991 to 2000,0.0064,new mexico
3.15,1994,34.08333,-103.5,1991 to 2000,0.00315,new mexico
34.29,1994,34.08333,-103.5,1991 to 2000,0.03429,new mexico
2.78,1994,34.08333,-103.5,1991 to 2000,0.00278,new mexico
3.55,1994,34.08333,-103.5,1991 to 2000,0.0035499999999999998,new mexico
12.1,1995,34.09167,-103.50167,1991 to 2000,0.0121,new mexico
212.2,1996,34.09167,-103.67667,1991 to 2000,0.2122,new mexico
56,1996,33.95833,-103.93833,1991 to 2000,0.056,new mexico
15,1969,34.21667,-103.55,1961 to 1970,0.015,new mexico
9.8,1969,33.6,-103.3,1961 to 1970,0.009800000000000001,new mexico
6.8,1970,34.3,-103.45,1961 to 1970,0.0068,new mexico
12.6,1979,34.05,-103.58333,1971 to 1980,0.0126,new mexico
8345,1988,33.995,-103.25,1981 to 1990,8.345,new mexico
10,1998,33.73883,-103.65,1991 to 2000,0.01,new mexico
51.7,1998,33.72217,-103.67333000000001,1991 to 2000,0.0517,new mexico
30,1998,34.18833,-103.94167,1991 to 2000,0.03,new mexico
98.8,2001,34.21667,-103.93333,2001 to 2010,0.0988,new mexico
81.2,2000,34.21667,-103.13333,1991 to 2000,0.08120000000000001,new mexico
4.75,2004,34.21667,-103.18333,2001 to 2010,0.00475,new mexico
17.3,2005,34.21667,-103.18333,2001 to 2010,0.0173,new mexico
73.7,1987,33.736667,-103.623333,1981 to 1990,0.0737,new mexico
11.1,2012,34.82793,-118.1464,2011 to current day,0.0111,california
850,1940,34.83333,-118.06667,1950 and older,0.85,california
54900,1915,30.81667,-97.05,1950 and older,54.9,texas
9935,1934,30.05806,-96.65139,1950 and older,9.935,texas
7166,1939,30.06667,-96.7,1950 and older,7.166,texas
6000,1986,39.16667,-98.43333,1981 to 1990,6,kansas
17590,1990,46.78333,-108.56667,1981 to 1990,17.59,montana
47200,1933,35.95,-104.2,1950 and older,47.2,new mexico
5619,1934,35.95,-104.2,1950 and older,5.619,new mexico
53070,1844,34.3,-81.4,1950 and older,53.07,south carolina
4300,1948,39.5,-85.5,1950 and older,4.3,indiana
