mass_g,year,reclat,reclong,time_period,mass_kg
2000,1868,34.4,-87.06667,1950 and older,2
100,1804,49.86667,8.65,1950 and older,0.1
7000,1998,41.98444,59.685,1991 to 2000,7
6580,2008,-1.87089,-79.95756,2001 to 2010,6.58
340,1887,43,-80,1950 and older,0.34
28,1829,40.25,-74,1950 and older,0.028
0.8,1897,28.56667,77.25,1950 and older,8e-4
16400,1911,51.46667,84.76667,1950 and older,16.4
230,1967,39.7825,-104.93056,1961 to 1970,0.23
12500,2001,26.68333,93.86667,2001 to 2010,12.5
25400,1962,25.73333,73.61667,1961 to 1970,25.4
12000,2001,19,81,2001 to 2010,12
1140,1994,24.225,76.525,1991 to 2000,1.14
45000,1976,22.37778,71.42722,1971 to 1980,45
1800,1848,14.88333,75.6,1950 and older,1.8
32000,1860,32.23333,76.46667,1950 and older,32
3396,2007,37.35172,27.32997,2001 to 2010,3.396
1000,1906,-33.75,18.56667,1950 and older,1
400,1957,-31.88333,-60.46667,1951 to 1960,0.4
166000,1884,-7.5,111.5,1950 and older,166
3950,1961,12.73333,15.05,1961 to 1970,3.95
10000,1999,36.95,9.55,1991 to 2000,10
3840,1903,23.5,90.33333,1950 and older,3.84
1600,1864,50.75,25.3,1950 and older,1.6
438,1907,40,29,1950 and older,0.438
128800,1995,45.5,119.03333,1991 to 2000,128.8
230,1899,21.86667,82.45,1950 and older,0.23
5500,1970,32.91667,120.78333,1961 to 1970,5.5
3891,1805,51.2,112.3,1950 and older,3.891
1250,1962,13.05,3.16667,1961 to 1970,1.25
1161,1932,32.33333,-6.3,1950 and older,1.161
642,1976,-13.66667,33.91667,1971 to 1980,0.642
5000,1827,36.4,-86.5,1950 and older,5
47700,1939,42.52,-82.26,1950 and older,47.7
1900,1951,42.45833,18.44167,1951 to 1960,1.9
30,1999,-31.66667,152.83333,1991 to 2000,0.03
2270,1865,52.55,-8.03333,1950 and older,2.27
13200,1815,30.3,76.63333,1950 and older,13.2
577,1853,-4,39.5,1950 and older,0.577
2117,1943,33.43333,127.26667,1950 and older,2.117
3230,1970,-27.2,31.31667,1961 to 1970,3.23
